i,d_v,d_c,k
16,5,6,33
109,28,29,33
105,27,29,38
101,26,29,43
97,25,29,48
93,24,29,53
89,23,29,58
0,2,3,59
197,57,58,59
11,4,6,61
194,56,58,61
85,22,29,63
191,55,58,63
188,54,58,65
185,53,58,67
81,21,29,68
182,52,58,69
179,51,58,71
77,20,29,73
176,50,58,73
173,49,58,75
170,48,58,77
73,19,29,78
167,47,58,79
164,46,58,81
69,18,29,83
161,45,58,83
158,44,58,85
155,43,58,87
65,17,29,88
6,3,6,89
152,42,58,89
149,41,58,91
248,82,87,91
246,81,87,92
61,16,29,93
146,40,58,93
244,80,87,93
242,79,87,94
143,39,58,95
240,78,87,95
238,77,87,96
140,38,58,97
236,76,87,97
57,15,29,98
234,75,87,98
137,37,58,99
232,74,87,99
230,73,87,100
134,36,58,101
228,72,87,101
226,71,87,102
53,14,29,103
131,35,58,103
224,70,87,103
222,69,87,104
128,34,58,105
220,68,87,105
218,67,87,106
125,33,58,107
216,66,87,107
49,13,29,108
214,65,87,108
122,32,58,109
212,64,87,109
210,63,87,110
119,31,58,111
208,62,87,111
206,61,87,112
45,12,29,113
116,30,58,113
204,60,87,113
202,59,87,114
113,29,58,115
200,58,87,115
198,57,87,116
1,2,6,117
110,28,58,117
195,56,87,117
41,11,29,118
192,55,87,118
106,27,58,119
189,54,87,119
186,53,87,120
102,26,58,121
183,52,87,121
180,51,87,122
37,10,29,123
98,25,58,123
177,50,87,123
174,49,87,124
94,24,58,125
171,48,87,125
168,47,87,126
90,23,58,127
165,46,87,127
33,9,29,128
162,45,87,128
86,22,58,129
159,44,87,129
156,43,87,130
82,21,58,131
153,42,87,131
150,41,87,132
29,8,29,133
78,20,58,133
147,40,87,133
144,39,87,134
74,19,58,135
141,38,87,135
138,37,87,136
70,18,58,137
135,36,87,137
25,7,29,138
132,35,87,138
66,17,58,139
129,34,87,139
126,33,87,140
62,16,58,141
123,32,87,141
120,31,87,142
21,6,29,143
58,15,58,143
117,30,87,143
114,29,87,144
54,14,58,145
111,28,87,145
107,27,87,146
50,13,58,147
103,26,87,147
17,5,29,148
99,25,87,148
46,12,58,149
95,24,87,149
91,23,87,150
42,11,58,151
87,22,87,151
83,21,87,152
12,4,29,153
38,10,58,153
79,20,87,153
75,19,87,154
34,9,58,155
71,18,87,155
67,17,87,156
30,8,58,157
63,16,87,157
7,3,29,158
59,15,87,158
26,7,58,159
55,14,87,159
51,13,87,160
22,6,58,161
47,12,87,161
43,11,87,162
2,2,29,163
18,5,58,163
39,10,87,163
35,9,87,164
13,4,58,165
31,8,87,165
27,7,87,166
8,3,58,167
23,6,87,167
19,5,87,168
3,2,58,169
14,4,87,169
9,3,87,170
4,2,87,171
5,2,174,173
10,3,174,173
15,4,174,173
20,5,174,173
24,6,174,173
28,7,174,173
32,8,174,173
36,9,174,173
40,10,174,173
44,11,174,173
48,12,174,173
52,13,174,173
56,14,174,173
60,15,174,173
64,16,174,173
68,17,174,173
72,18,174,173
76,19,174,173
80,20,174,173
84,21,174,173
88,22,174,173
92,23,174,173
96,24,174,173
100,25,174,173
104,26,174,173
108,27,174,173
112,28,174,173
115,29,174,173
118,30,174,173
121,31,174,173
124,32,174,173
127,33,174,173
130,34,174,173
133,35,174,173
136,36,174,173
139,37,174,173
142,38,174,173
145,39,174,173
148,40,174,173
151,41,174,173
154,42,174,173
157,43,174,173
160,44,174,173
163,45,174,173
166,46,174,173
169,47,174,173
172,48,174,173
175,49,174,173
178,50,174,173
181,51,174,173
184,52,174,173
187,53,174,173
190,54,174,173
193,55,174,173
196,56,174,173
199,57,174,173
201,58,174,173
203,59,174,173
205,60,174,173
207,61,174,173
209,62,174,173
211,63,174,173
213,64,174,173
215,65,174,173
217,66,174,173
219,67,174,173
221,68,174,173
223,69,174,173
225,70,174,173
227,71,174,173
229,72,174,173
231,73,174,173
233,74,174,173
235,75,174,173
237,76,174,173
239,77,174,173
241,78,174,173
243,79,174,173
245,80,174,173
247,81,174,173
249,82,174,173
